OR,OT
"CITY ORDINANCE NO. 303, s-2008","AN ORDINANCE AMENDING CITY ORDINANCE NO. 175, S-2005, “AN ORDINANCE IMPOSING RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 298, s-2008","AN ORDINANCE RECLASSIFYING A PARCEL OF LAND REGISTERED IN THE NAME OF ANGELITA MAGDANGAL MARTINEZ ET. AL. EMBRACED BY TCT NOS. T-172237 AND T-191543, CONTAINING A TOTAL AREA OF 43,777 SQUARE METERS LOCATED AT PUROK MAGKIDONG, BARANGAY MANKILAM, TAGUM CITY FROM AGRICULTURAL TO RESIDENTIAL PURPOSES."
"CITY ORDINANCE NO. 297, s-2008","AN ORDINANCE RECLASSIFYING A PORTION OF A PARCEL OF LAND REGISTERED IN THE NAME OF NATIONAL IRRIGATION ADMINISTRATION (NIA) EMBRACED BY TCT NO. T-16547 CONTAINING AN AREA OF 10,000 SQUARE METERS LOCATED AT PUROK 1, BARANGAY MAGDUM, TAGUM CITY FROM INSTITUTIONAL TO RESIDENTIAL PURPOSES."
"CITY ORDINANCE NO. 295, s-2008","AN ORDINANCE AMENDING CITY ORDINANCE NO. 138, s-2004, “AN ORDINANCE GRANTING BURIAL ASSISTANCE TO SENIOR CITIZENS OF TAGUM CITY AND APPROPRIATING FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 294, s-2008","AN ORDINANCE GRANTING BURIAL ASSISTANCE IN THE AMOUNT OF THREE THOUSAND (P 3,000.00) PESOS EACH TO WORLD WAR II AND KOREAN WAR VETERANS WHO ARE RESIDENTS OF TAGUM, DAVAO AND APPROPRIATING FUNDS THEREOF."
"CITY ORDINANCE NO. 289, s-2008",AN ORDINANCE REQUIRING THE SALE AND USE OF IRON FORTIFIED RICE IN THE CITY OF TAGUM.
"CITY ORDINANCE NO. 280, s-2008",AN ORDINANCE DECLARING TAGUM AS THE PALM CITY OF THE PHILIPPINES.
"CITY ORDINANCE NO. 284, s-2008","AN ORDINANCE APPROVING THE NEW SCHEDULE OF MARKET VALUES OF REAL PROPERTIES IN THE CITY OF TAGUM INCLUDING ITS CLASSIFICATION AND ASSESSMENT LEVELS AS PROVIDED FOR UNDER SECTION NO. 218 OF REPUBLIC ACT 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991."
"CITY ORDINANCE NO. 287, s-2008","AN ORDINANCE ESTABLISHING A TECHNICAL VOCATIONAL INSTITUTE IN THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE TO BE KNOWN AS TAGUM CITY TRADE SCHOOL."
"CITY ORDINANCE NO. 282, s-2008","AN ORDINANCE AMENDING SECTIONS 4, 5 AND 6 OF CITY ORDINANCE NO. 38, S-2002 “AN ORDINANCE INSTITUTIONALIZING THE LITERACY PROGRAM OF THE CITY OF TAGUM, PROVIDING ITS POLICY, GUIDELINES AND FUNDS THEREOF.”"
"CITY ORDINANCE NO. 281, s-2008","“AN ORDINANCE ALLOWING THE TRANSFER OF THE NEW CITY HALL OF TAGUM (FORMERLY MUNICIPAL HALL) FROM RIZAL STREET, BARANGAY MAGUGPO POBLACION TO ITS NEW SITE LOCATED AT BARANGAY APOKON, BOTH AT TAGUM CITY.”"
"CITY ORDINANCE NO. 270, s-2007",“AN ORDINANCE ADOPTING THE 2008 GUIDELINES IN THE ORGANIZATION OF PUROK.”
"CITY ORDINANCE NO. 261, S-2007","“AN ORDINANCE RECLASSIFYING A PARCEL OF LAND IN THE NAME OF VENEERING MASTER WOODPHIL CORPORATION EMBRACED BY TCT NO. T-240717 COMPRISING OF 34,946 SQUARE METERS LOCATED AT BARANGAY CUAMBOGAN, TAGUM CITY FROM AGRICULTURAL TO INDUSTRIAL PURPOSES.”"
"CITY ORDINANCE NO. 249, s-2007","“AN ORDINANCE PROVIDING FOR THE DEVELOPMENT, CONSERVATION, AND MANAGEMENT OF THE FISHERIES AND AQUATIC RESOURCES IN THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE, AND FOR OTHER PURPOSES”"
"CITY ORDINANCE NO. 238,s-2007",“AN ORDINANCE ESTABLISHING THE GENDER AND DEVELOPMENT CODE OF TAGUM CITY.”
"CITY ORDINANCE NO. 258, S-2007","AN ORDINANCE REPEALING CITY ORDINANCE NO. 90, S-2003, “AN ORDINANCE ENACTING THE TAGUM CITY INVESTMENT INCENTIVES CODE OF 2003”."
"CITY ORDINANCE NO. 257, s-2007","AN ORDINANCE REPEALING CITY ORDINANCE NO. 34, s-2002, “AN ORDINANCE GRANTING MEDICAL/BURIAL/FINANCIAL ASSISTANCE TO ALL BARANGAY OFFICIALS AND FUNCTIONARIES IN THE CITY OF TAGUM IN CASES OF SICKNESS, ACCIDENTS, HOSPITALIZATION AND DEATH”, AS AMENDED BY CITY ORDINANCE NO. 108, s-2003."
"CITY ORDINANCE NO. 246, s- 2007",“AN ORDINANCE ESTABLISHING THE CITY VOCATIONAL/TECHNICAL EDUCATIONAL SCHOLARSHIP PROGRAM ( CIVOTESPRO ) OF TAGUM CITY AND PROVIDING GUIDELINES FOR IMPLEMENTATION THEREOF”.
"CITY ORDINANCE NO. 241, s-2007",AN ORDINANCE ADOPTING THE MACE WITH THE OFFICIAL SEAL OF THE SANGGUNIANG PANLUNGSOD OF THE CITY OF TAGUM AND FOR OTHER PURPOSES.
"CITY ORDINANCE NO. 237, SERIES OF 2007",“AN ORDINANCE DECLARING FEBRUARY 21 TO 27 OF EACH YEAR AS MUSIKAHAN SA TAGUM FESTIVAL.”
"CITY ORDINANCE NO. 239, s-2007","AN ORDINANCE RECLASSIFYING PARCEL OF LAND IN THE NAME OF NORMA T. BANDALAN, ET. AL., COMPRISING OF 28,831 SQ. M. BEING PORTION OF 44,811 SQ. M. MORE OR LESS, EMBRACED BY TCT NO. C-4680 AND CLOA NO. 00197420, WITH LOT NO. 955, CAD-276 (NOW OWNED BY SULTAN RAJAH ACAS ALI JAIME M. MAUG) AND PARCEL continue reading : CITY ORDINANCE NO. 239, s-2007"
"CITY ORDINANCE NO. 229, S-2006","AN ORDINANCE REVISING MUNICIPAL ORDINANCE NO. 2,S-1997, “AN ORDINANCE ESTABLISHING THE COMPREHENSIVE SOLID WASTE MANAGEMENT OF THE MUNICIPALITY OF TAGUM AND PROVIDING PENALTIES FOR VIOLATION THEREOF.”"
"CITY ORDINANCE NO. 228, s-2006","“AN ORDINANCE AUTHORIZING THE TAGUM CITY ENGINEERING CONSTRUCTION AND MANAGEMENT SERVICES TO ENGAGE AS ECONOMIC ENTERPRISE, CONSTITUTING AND CREATING ITS MANAGEMENT ADVISORY BOARD AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 227, s-2006","“AN ORDINANCE REVISING CITY ORDINANCE NO. 06, s-2001 “AN ORDINANCE PROVIDING REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 225, s-2006",“AN ORDINANCE ALLOWING COMPROMISE AGREEMENT WITH REAL PROPERTY OWNERS OR THEIR AUTHORIZED REPRESENTATIVE/S IN THE SETTLEMENT OF THEIR DELINQUENT REAL PROPERTY TAXES.”
"CITY ORDINANCE NO. 234, s-2006","“AN ORDINANCE RENAMING CATALAN ELEMENTARY SCHOOL AS “FLORENTINO CATALAN ELEMENTARY SCHOOL” LOCATED AT BARANGAY CUAMBOGAN, TAGUM CITY”."
"CITY ORDINANCE NO. 233, S-2006",AN ORDINANCE PROMULGATING THE GUIDELINES FOR THE ESTABLISHMENT OF THE CITY EMPLOYEES’ VILLAGE TO BE KNOWN AS “CITY HOMES”.
"CITY ORDINANCE NO. 232, s-2006","AN ORDINANCE GRANTING THE APPLICATION OF BONGAO CABLE-TV NETWORK, INC. A FRANCHISE TO CONSTRUCT, INSTALL, OPERATE AND MAINTAIN FOR COMMERCIAL PURPOSES A CABLE-TV IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 201, S-2006","AN ORDINANCE REGULATING THE VOLUME OF SOUND GENERATED FROM AND/OR OPERATION OF COMMERCIAL VIDEOKE MACHINES, INSTALLED JUKE BOXES, MINUS ONE MACHINES, PUBLIC ADDRESS SYSTEM, LIVE BAND AND COMBO MUSIC IN DISCO HOUSES, BEER GARDENS, COCKTAIL LOUNGES AND OTHER SIMILAR ESTABLISHMENTS IN THE CITY OF TAGUM AND PROVIDING PENALTIES FOR VIOLATION THEREOF."
"CITY ORDINANCE NO. 222, s-2006","“AN ORDINANCE PROHIBITING THE CUTTING, DESTROYING OR IMPAIRING OF PLANTED TREES, SHRUBS, PALMS AND ORNAMENTAL PLANTS ALONG PUBLIC ROADS, PLAZAS, PARKS OR IN ANY OTHER PUBLIC GROUND.”"
"CITY ORDINANCE NO. 220, s-2006",“AN ORDINANCE REQUIRING DRIVERS AND RIDERS OF SINGLE MOTORCYCLES PLYING ALONG THE CITY STREETS AND NATIONAL HIGHWAYS WITHIN THE TERRITORIAL JURISDICTION OF TAGUM CITY TO WEAR CRASH HELMETS WHILE OPERATING OR RIDING ON SAID MOTORCYCLES.”
"CITY ORDINANCE NO. 224, S-2006",“AN ORDINANCE ON THE PREVENTION AND CONTROL OF AVIAN INFLUENZA OF TAGUM CITY”
"CITY ORDINANCE NO. 223, s-2006",“AN ORDINANCE ADOPTING THE REVISED CODE OF ECONOMIC ENTERPRISES OF TAGUM CITY.”
"CITY ORDINANCE NO. 221, s-2006","AN ORDINANCE RECLASSIFYING LOT NOS. 6039, 6035 AND 6036, ALL OF CSD-1378 COVERING AN AREA OF 46,992 SQ. M., 39,906 SQ. M., AND 19,303, REGISTERED IN THE NAME OF VICENTE B. DAMOLO, GRACIANO RAMOS AND ALBERTO MAITEM, RESPECTIVELY, SITUATED AT BARANGAY NUEVA FUERZA, TAGUM CITY, FROM AGRICULTURAL TO INSTITUTIONAL ZONE/SANITARY LANDFILL."
"CITY ORDINANCE NO. 218, S-2006","“AN ORDINANCE ADOPTING THE REVISED SCHEDULE OF MARKET VALUES OF REAL PROPERTIES IN THE CITY OF TAGUM INCLUDING THE ASSESSMENT LEVELS AS PROVIDED FOR UNDER SECTION NO. 218 OF REPUBLIC ACT 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991.”"
"CITY ORDINANCE NO. 178, S-2005","AN ORDINANCE RENAMING DAVAO NATIONAL HIGH SCHOOL AS TAGUM CITY COMPREHENSIVE NATIONAL HIGH SCHOOL (formerly Davao National High School), LOCATED AT BARANGAY MANKILAM, TAGUM CITY."
"CITY ORDINANCE NO. 171, S-2005",“AN ORDINANCE REGULATING THE SALE OF FISH AND OTHER AQUATIC FOOD PRODUCTS WITHIN THE CITY OF TAGUM AND THOSE INTENDED FOR RESALE OUTSIDE THE TERRITORIAL JURISDICTION OF TAGUM CITY AND PRESCRIBING FEES THEREOF.”
"CITY ORDINANCE NO. 164, S-2005",“AN ORDINANCE REQUIRING ALL PRIVATE RECRUITMENT AND PLACEMENT AGENCIES CONDUCTING RECRUITMENT ACTIVITIES FOR FOREIGN OR LOCAL JOBS WITHIN THE CITY OF TAGUM TO SECURE A SPECIAL MAYOR’S PERMIT ON RECRUITMENT”.
"CITY ORDINANCE NO. 217,s-2006","AN ORDINANCE AMENDING CITY ORDINANCE NO. 41,S-1998, “AN ORDINANCE REGULATING THE GARBAGE COLLECTION, CONTROL AND DISPOSAL SYSTEM AND PRESCRIBING FEES THEREON.”"
"CITY ORDINANCE NO. 156, s-2006",AN ORDINANCE DEFINING THE QUASI-JUDICIAL POWERS OF THE SANGGUNIANG PANLUNGSOD OF TAGUM CITY AND PRESCRIBING RULES AND PROCEDURE IN THE ADMINISTRATION OF COMPLAINTS AGAINST ELECTIVE BARANGAY OFFICIALS.
"CITY ORDINANCE NO. 215, s-2005","AN ORDINANCE FURTHER AMENDING ARTICLE 35, SECTION 1 OF MUNICIPAL ORDINANCE NO. 1, S-1992 OTHERWISE KNOWN AS THE REVISED TAX CODE, AS AMENDED BY CITY ORDINANCE NO. 45, S-1998."
"CITY ORDINANCE NO. 198, S-2005","“AN ORDINANCE REGULATING THE PURCHASE AND SALE, TRADE-IN, PAWNING, REPAIR SERVICING AND MAINTENANCE OF BRAND NEW, USED, PRE-OWNED AND RECONDITIONED MOBILE PHONE UNITS IN TAGUM CITY AND FOR OTHER PURPOSES.”"
"CITY ORDINANCE NO. 200, s-2005",AN ORDINANCE INCREASING THE FARE RATES OF MOTORIZED TRICYCLES FOR HIRE (MTH) FROM FIVE (P 5.00) PESOS TO SEVEN (P 7.00) PESOS IN THE CITY OF TAGUM.
"CITY ORDINANCE NO. 194, S-2005",AN ORDINANCE CREATING THE LOCAL YOUTH DEVELOPMENT COUNCIL OF THE CITY OF TAGUM AND FOR OTHER PURPOSES.
"CITY ORDINANCE NO. 192, s-2005","AN ORDINANCE RENAMING TAGUM NATIONAL HIGH SCHOOL AS TAGUM CITY NATIONAL HIGH SCHOOL (TCNHS), LOCATED AT BARANGAY VISAYAN VILLAGE, TAGUM CITY."
"CITY ORDINANCE NO. 187, s-2005",AN ORDINANCE ADOPTING THE REVISED ORGANIZATIONAL STRUCTURE AND STAFFING PATTERN OF THE CITY GOVERNMENT OF TAGUM.
"CITY ORDINANCE NO. 180, s-2005","AN ORDINANCE IMPLEMENTING AND ENFORCING THE PROVISIONS OF R.A. 9208, OTHERWISE KNOWN AS THE “ANTI-TRAFFICKING IN PERSONS ACT OF 2003."
"CITY ORDINANCE NO. 179, s-2005","AN ORDINANCE INSTITUTIONALIZING THE CITY INDIGENOUS PEOPLES’ (IPs) SERVICES AND DEVELOPMENT OFFICE (CIPSDO), PROVIDING ITS COMPOSITION, DUTIES, FUNCTIONS AND RESPONSIBILITIES."
"CITY ORDINANCE NO. 175, S-2005","“AN ORDINANCE IMPOSING RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM.”"
"CITY ORDINANCE NO. 162, S-2004","“AN ORDINANCE CREATING THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD (CTFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 169, S-2004",“AN ORDINANCE ESTABLISHING A MANDATORY AGE OF SEPARATION FOR BARANGAY HEALTH WORKERS AND PROVIDING ITS INCENTIVES AND BENEFITS THEREOF.”
"CITY ORDINANCE NO. 163, s-2004","“AN ORDINANCE AMENDING SECTION 1 OF MUNICIPAL ORDINANCE NO. 33, s-1992 “AN ORDINANCE BANNING DUMP / CARGO TRUCKS ENGAGED IN HAULING SAND, GRAVEL, LIMESTONE AND EARTHFILL MATERIALS WITHOUT PROTECTIVE COVERING OF THEIR CARGOES FROM USING ALL THE STREETS AND ROADS WITHIN THE MUNICIPALITY OF TAGUM”."
"RESOLUTION NO. 216, s-2004","RESOLUTION REQUESTING THE HONORABLE RICHARD J. GORDON, SENATOR OF THE REPUBLIC OF THE PHILIPPINES FOR FINANCIAL SUPPORT IN THE AMOUNT OF NINE MILLION (Php 9,000,000.00) PESOS FOR THE CONSTRUCTION OF ADDITIONAL TEN (10) “TAGUM TYPE” CLASSROOMS IN IDENTIFIED PUBLIC ELEMENTARY AND SECONDARY SCHOOLS IN THE CITY OF TAGUM."
"RESOLUTION NO. 203, s-2004","RESOLUTION REQUESTING THE HONORABLE RENE VILLA, LLB, SECRETARY OF THE DEPARTMENT OF AGRARIAN REFORM (DAR) FOR FINANCIAL SUPPORT IN THE AMOUNT OF EIGHTY MILLION (Php 80,000,000.00) PESOS FOR THE CONSTRUCTION/IMPROVEMENT OF 8-KMS FARM-TO-MARKET ROAD (FMR) AT BARANGAY SAN MIGUEL – BARANGAY CANOCOTAN – CIRCUMFERENTIAL ROAD-DAVAO REGIONAL HOSPITAL."
"RESOLUTION NO. 202, s-2004","A RESOLUTION CONFIRMING BARANGAY ORDINANCE NO. 05, SERIES OF 2004 OF THE SANGGUNIANG BARANGAY OF LA FILIPINA, TAGUM CITY."
"RESOLUTION NO. 204, s-2004","RESOLUTION REQUESTING THE HONORABLE JIMMY ZERAGA, PARTY LIST REPRESENTATIVE, SAGIP KAPWA PARTY OF THE REPUBLIC OF THE PHILIPPINES FOR FINANCIAL SUPPORT IN THE AMOUNT OF FIVE MILLION (Php 5,000,000.00) PESOS FOR THE CONSTRUCTION OF COMMUNAL IRRIGATION SYSTEM (CIS) OF BARANGAY PAGSABANGAN, TAGUM CITY."
"CITY ORDINANCE NO. 161, s-2004",“AN ORDINANCE REVISING THE POLICIES AND GUIDELINES IN THE ESTABLISHMENT AND REGULATION OF THE NIGHT MARKET IN THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 149, s-2004","AN ORDINANCE CREATING A LEGISLATIVE BACKSTOPPING COMMITTEE (LBC), PROVIDING FOR ITS COMPOSITION AND FUNCTIONS AND APPROPRIATING FUNDS THEREOF,"
"CITY ORDINANCE NO. 147, s-2004",AN ORDINANCE CREATING THE TAGUM CITY CONSUMER WELFARE AND PROTECTION COUNCIL AND FOR OTHER PURPOSES.
"CITY ORDINANCE NO. 146, s-2004","AN ORDINANCE AMENDING SECTIONS 4 & 5 OF CITY ORDINANCE NO. 9, S-1999, “AN ORDINANCE CREATING THE CITY GENDER AND DEVELOPMENT (GAD) COORDINATING COUNCIL IN THE CITY OF TAGUM AND APPROPRIATING FUNDS THEREOF”."
"CITY ORDINANCE NO. 144, S-2004",AN ORDINANCE PRESCRIBING POLICIES AND GUIDELINES ON THE UTILIZATION OF THE ONE (1) UNIT CASE-IH TRACTOR MODEL C90 UNDER GININTUANG MASAGANANG ANI (GMA) CORN-FARM MECHANIZATION PROGRAM OF THE DEPARTMENT OF AGRICULTURE RFU-XI.
"CITY ORDINANCE NO. 142, S-2004","“AN ORDINANCE AMENDING SECTIONS 4,8,11,14 AND 17 OF CITY ORDINANCE NO. 54, S-2002, An Ordinance Providing Policies and guidelines for the establishment and implementation of a Continuing Legal Education Program (CLEP) and providing funds thereof.”"
"CITY ORDINANCE NO. 141, S-2004",“AN ORDINANCE INCREASING THE FARE RATES OF MOTORIZED TRICYCLES FOR HIRE (MTH) FROM FOUR PESOS (P4.00) TO FIVE PESOS (P5.00) IN THE CITY OF TAGUM.”
"RESOLUTION NO. 01, s-2004",“RESOLUTION ADOPTING THE INTERNAL RULES OF PROCEDURE OF THE SANGGUNIANG PANLUNGSOD OF THE CITY OF TAGUM.”
"RESOLUTION NO. 1462, S-2004","A RESOLUTION AUTHORIZING THE CITY MAYOR, HON. GELACIO P. GEMENTIZA, TO SIGN FOR AND IN BEHALF OF THE CITY GOVERNMENT, THE DEED OF DONATION OF ROAD LOT REGISTERED IN THE NAME OF ROGELIA B. NEGRIDO, LOCATED AT BARANGAY SAN MIGUEL, CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE WITH TITLE NO. T-135053."
"RESOLUTION NO. 211, s-2004","RESOLUTION REQUESTING THE HONORABLE JUAN PONCE ENRILE, SENATOR OF THE REPUBLIC OF THE PHILIPPINES FOR FINANCIAL SUPPORT IN THE AMOUNT OF NINE MILLION (Php 9,000,000.00) PESOS FOR THE CONSTRUCTION OF ADDITIONAL TEN (10) “TAGUM TYPE” CLASSROOMS IN IDENTIFIED PUBLIC ELEMENTARY AND SECONDARY SCHOOLS IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 140, S-2004","AN ORDINANCE PROVIDING FOR THE YEARLY OBSERVANCE OF THE 8THDAY OF MARCH AS WOMEN’S DAY, TAGUM CITY ."
"CITY ORDINANCE NO. 139, S-2004","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 83, S-2003, AN ORDINANCE CREATING THE POSITION OF SENIOR CITIZENS COORDINATOR ON EACH OF THE 23 BARANGAYS IN THE CITY OF TAGUM AND PROVIDING FUNDS FOR ITS MONTHLY HONORARIA.”"
"CITY ORDINANCE NO. 138, S-2004",“AN ORDINANCE GRANTING BURIAL ASSISTANCE TO SENIOR CITIZENS OF TAGUM CITY AND APPROPRIATING FUNDS FOR THE PURPOSE.”
"CITY ORDINANCE NO. 130, S-2003",“AN ORDINANCE RENAMING JOSE TUASON JUNIOR MEMORIAL NATIONAL HIGH SCHOOL – BINCUNGAN ANNEX (JTJMNHS – Bincungan Annex) TO PIPISAN MAUG NATIONAL HIGH SCHOOL.”
"CITY ORDINANCE NO. 126, S-2003","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 37, S-1998, “AN ORDINANCE GRANTING ADDITIONAL ALLOWANCE OF THREE THOUSAND PESOS (P3,000.00) MONTHLY TO EACH OF THE SEVEN (7) CITY & ASSISTANT PROSECUTORS OF THE CITY OF TAGUM, SUBJECT TO THE USUAL ACCOUNTING AND AUDITING RULES AND PROCEDURES AS PROVIDED FOR BY LAW”"
"CITY ORDINANCE NO. 112, s-2003",AN ORDINANCE ON MANDATORY ANTI-RABIES VACCINATION OF ALL PET DOGS IN THE CITY OF TAGUM AND PROVIDING GUIDELINES AND FUNDS FOR THE IMPLEMENTATION THEREOF.
"CITY ORDINANCE NO. 117, S-2003","AN ORDINANCE AMENDING CITY ORDINANCE NO. 35, S-1999, “AN ORDINANCE GRANTING A REPRESENTATION ALLOWANCE TO ALL MUNICIPAL/CITY/REGIONAL TRIAL COURT JUDGES OF TAGUM CITY.”"
"CITY ORDINANCE NO. 115, S-2003",“AN ORDINANCE GRANTING STEP INCREMENT TO THE POSITION OF CITY GOVERNMENT DEPARTMENT HEAD 1 UNDER THE CITY TREASURER’S OFFICE FROM SALARY GRADE 25 STEP 1 TO SALARY GRADE 25 STEP 3.”
"CITY ORDINANCE NO. 90, s-2003",AN ORDINANCE ENACTING THE TAGUM CITY INVESTMENT INCENTIVE CODE OF 2003
"CITY ORDINANCE NO. 109, s-2003","AN ORDINANCE INCREASING THE MONTHLY SUBSISTENCE ALLOWANCE OF ALL QUALIFIED BARANGAY HEALTH WORKERS IN THE CITY OF TAGUM FROM ONE THOUSAND (P 1,000.00) PESOS TO ONE THOUSAND TWO HUNDRED (P 1,200.00) PESOS AND APPROPRIATING FUNDS THEREOF."
"CITY ORDINANCE NO. 108, S-2003","AN ORDINANCE AMENDING CITY ORDINANCE NO. 34, S-2002, “AN ORDINANCE GRANTING MEDICAL/BURIAL/FINANCIAL ASSISTANCE TO ALL BARANGAY OFFICIALS AND FUNCTIONARIES IN THE CITY OF TAGUM IN CASES OF SICKNESS, ACCIDENTS, HOSPITALIZATION AND DEATH."
"CITY ORDINANCE NO. 101, S-2003",“AN ORDINANCE IMPOSING RATES FOR RENTAL OF EQUIPMENT/VEHICLES OWNED BY THE CITY GOVERNMENT OF TAGUM”
"CITY ORDINANCE NO. 100, S-2003","AN ORDINANCE AMENDING SECTIONS 1, 2, 4, 5 AND 9 OF MUNICIPAL ORDINANCE NO. 17,s-1990 “AN ORDINANCE REGULATING THE DISPLAY OF STREAMERS WITHIN THE TERRITORIAL JURISDICTION OF THE MUNICIPALITY OF TAGUM."
"CITY ORDINANCE NO. 99, S-2003","AN ORDINANCE AMENDING TAX ORDINANCE NO. 1,s-1992 OTHERWISE KNOWN AS THE TAX ORDINANCE OF THE MUNICIPALITY OF TAGUM."
"CITY ORDINANCE NO. 94, S-2003",“AN ORDINANCE NAMING THE ROAD FROM THE APOKON NATIONAL HIGHWAY GOING TO MANGGA ELEMENTARY SCHOOL AS SUAYBAGUIO-SANTOS STREET.”
"CITY ORDINANCE NO. 92, s-2003",AN ORDINANCE ADOPTING THE REORGANIZATIONAL STRUCTURE AND STAFFING PATTERN OF THE CITY GOVERNMENT OF TAGUM.
"CITY ORDINANCE NO. 91, s-2003","AN ORDINANCE AMENDING CITY ORDINANCE NO. 34, S-2002, AN ORDINANCE GRANTING MEDICAL/BURIAL/FINANCIAL ASSISTANCE TO ALL BARANGAY OFFICIALS AND FUNCTIONARIES IN THE CITY OF TAGUM IN CASES OF SICKNESS, ACCIDENTS, HOSPITALIZATION AND DEATH."
"CITY ORDINANCE NO. 93, S-2003",“AN ORDINANCE RENAMING MANKILAM ELEMENTARY SCHOOL (M.E.S) TO FRANCISCO M. BERMUDEZ ELEMENTARY SCHOOL.”
"CITY ORDINANCE NO. 85, s-2003",AN ORDINANCE UPGRADING THE STEP FOR THE POSITION OF CITY GOVERNMENT DEPARTMENT HEAD 1 UNDER THE CITY TREASURER’S OFFICE FROM A SALARY GRADE 25 STEP 1 TO SALARY GRADE 25 STEP 3.
"CITY ORDINANCE NO. 84, S-2003","AN ORDINANCE AMENDING CITY ORDINANCE NO. 10, S-1999, “AN ORDINANCE CREATING THE POSITIONS OF: 1 RECORDS OFFICER 111; (1) LEGISLATIVE STAFF OFFICER II; (2) CLERK III AND (1) BOOKBINDER II, ALL UNDER THE SECRETARIAT SERVICES OF THE SANGGUNIANG PANLUNGSOD AND PROVIDING FOR THE QUALIFICATIONS, COMPENSATIONS, DUTIES AND RESPONSIBILITIES AND APPROPRIATING THE NECESSARY FUNDS FOR THE continue reading : CITY ORDINANCE NO. 84, S-2003"
"CITY ORDINANCE NO. 83, s-2003",AN ORDINANCE CREATING THE POSITION OF SENIOR CITIZENS COORDINATOR ON EACH OF THE 23 BARANGAYS IN THE CITY OF TAGUM AND PROVIDING FUNDS FOR ITS MONTHLY HONORARIA.
"CITY ORDINANCE NO. 82, s-2003",AN ORDINANCE DECLARING OCTOBER 10 AS TRIBAL DAY OF TAGUM CITY.
"CITY ORDINANCE NO. 77, s-2003","AN ORDINANCE AMENDING TAX ORDINANCE NO. 1, S-1992 OTHERWISE KNOWN AS THE TAX CODE OF THE MUNICIPALITY OF TAGUM."
"CITY ORDINANCE NO. 78, s-2003","AN ORDINANCE AMENDING SECTIONS 1, 2, 4, 5 & 9 OF MUNICIPAL ORDINANCE NO. 17, S-1990, “AN ORDINANCE REGULATING THE DISPLAY OF STREAMERS WITHIN THE TERRITORIAL JURISDICTION OF THE MUNICIPALITY OF TAGUM."
"CITY ORDINANCE NO. 74, S-2003","“AN ORDINANCE AMENDING CITY ORDINANCE NO. 10, S-1999, AN ORDINANCE CREATING THE POSITIONS OF: (1) RECORDS OFFICER III; (1) LEGISLATIVE STAFF OFFICER II; (2) CLERK III & (1) BOOKBINDER 11, ALL UNDER THE SECRETARIAT SERVICES OF THE SANGGUNIANG PANLUNGSOD”."
"CITY ORDINANCE NO. 54, s-2002",AN ORDINANCE PROVIDING POLICIES AND GUIDELINES FOR THE ESTABLISHMENT AND IMPLEMENTATION OF A CONTINUING LEGAL EDUCATION PROGRAM (CLEP) AND PROVIDING FUNDS THEREOF.
"CITY ORDINANCE NO. 58, S – 2002","AN ORDINANCE CREATING THE LOCAL PUBLIC EMPLOYMENT DEVELOPMENT AND SERVICE OFFICE (PEDSO) PROVIDING ITS COMPOSITIONS, DUTIES, FUNCTIONS AND RESPONSIBLITIES AND APPROPRIATING FUNDS THEREOF."
